Date,Open,High,Low,Close,Volume,Open Interest
28/02/2013,293.45,293.7,280.8,286.85,8831000,7077000
01/03/2013,291.25,294.7,283,289.3,6923000,18106000
04/03/2013,289,293,286.1,290.15,5712500,18584000
05/03/2013,289.65,303.85,289.45,302.15,8299000,19586000
06/03/2013,303.5,312.45,303.5,310.95,7383000,20508000
07/03/2013,310,310,304,307.8,5624000,19825000
08/03/2013,306.1,309.1,302.6,305.95,5228500,20342000
11/03/2013,306.15,308.5,301.6,303.05,4028000,20637000
12/03/2013,307.7,309.4,303,305.95,5651000,21370000
13/03/2013,306.9,307,298.3,302,6080500,21424000
14/03/2013,299.9,304.5,293.5,302.85,8782500,20753000
15/03/2013,301.7,302.4,291.55,292.8,7112500,19516000
18/03/2013,290,291.4,286.25,288.05,4482000,19283000
19/03/2013,289.15,291.15,279.5,282.8,6750500,18843000
20/03/2013,282.2,287.5,277.35,286.85,5839000,18424000
21/03/2013,285,286.15,270.35,273.95,11042000,18767000
22/03/2013,275.95,279,265.95,271,8565000,17497000
25/03/2013,274.05,275.9,268.95,270.65,7028000,16660000
26/03/2013,271.45,277.8,266.7,275.5,8080500,12085000
28/03/2013,272.75,272.8,267.05,269.1,6185500,7735000
01/04/2013,270,270,263.4,266.85,4254500,14493000
02/04/2013,264.1,270,259.85,268.5,8942000,15573000
03/04/2013,267.45,268,257.2,258.65,6727500,16575000
04/04/2013,257.5,264.7,255.75,259.25,7143000,16403000
05/04/2013,260.1,262.75,253.1,256.8,5865000,16420000
08/04/2013,258.4,262,254.5,258.05,3604500,16434000
09/04/2013,260.35,266.15,260.35,263.2,6849500,16290000
10/04/2013,265.65,269.5,258.25,268.45,6484500,16971000
11/04/2013,279.35,281.85,275.9,278.3,8673500,18676000
12/04/2013,274.3,281.5,273.05,276.35,5436000,19418000
15/04/2013,272,273.6,264.7,269.8,5591500,19312000
16/04/2013,266.65,273.4,263.45,272.05,6039500,18099000
17/04/2013,275.4,275.5,269.5,272.25,6885000,17244000
18/04/2013,270.5,284.1,268.05,282.25,11622500,15897000
22/04/2013,283.65,287.4,281.55,284.65,5839000,13112000
23/04/2013,283.7,284.45,277.3,281.75,6341500,9240000
25/04/2013,285.6,294.9,285.05,293.45,8093000,4263000
26/04/2013,294.9,300.2,291.75,298,4935500,14652000
29/04/2013,296.9,300.8,293.8,298.1,3209000,15179000
30/04/2013,299.45,302,291.4,300.35,5863000,15354000
02/05/2013,295.1,301.7,292.55,297.35,6203500,17427000
03/05/2013,294.5,295.1,285.5,286.35,6776000,17228000
06/05/2013,287.3,293.95,284,291.1,5289500,18546000
07/05/2013,292.25,301.4,292.25,299.25,5039000,18631000
08/05/2013,300.15,306.2,299.55,301.2,5502000,19395000
09/05/2013,302.1,304,295.4,300,4788000,19495000
10/05/2013,301.25,309.9,299.7,309.05,6252500,20669000
11/05/2013,307.35,308.85,306.75,308.35,440000,20685000
13/05/2013,307,310,297.3,298.55,4806500,19620000
14/05/2013,298.25,304.3,295.85,300.65,6046000,20577000
15/05/2013,302.4,313.35,302.4,308.95,7393000,21930000
16/05/2013,308.95,310,302.5,303.7,4482500,21738000
17/05/2013,300.8,308.55,300.2,304.9,4101500,21761000
20/05/2013,306,317.2,301.25,303.3,8673000,22152000
21/05/2013,304.2,304.7,293.2,294.25,6606000,20935000
22/05/2013,297.5,298.8,290,292.4,5919500,20475000
23/05/2013,289.6,293.75,285.6,291.55,6986500,19909000
24/05/2013,294.15,296.45,283.65,288.95,6935500,19425000
27/05/2013,287.85,296.1,285.3,294.7,6056000,18500000
28/05/2013,293.7,298.8,290.55,295.35,6822000,16999000
29/05/2013,296.9,305,295.45,303.55,12231500,12395000
30/05/2013,315.5,319.2,310.85,317.35,11680000,6888000
31/05/2013,318.05,321.35,314.3,315.4,8481000,20445000
03/06/2013,311.05,317.2,308.6,315,6145500,21537000
04/06/2013,310.9,318.65,304.75,307.45,9043500,20893000
05/06/2013,305,311.95,304.55,309.2,4887500,20973000
06/06/2013,306.4,311.5,305.85,308.7,5760000,21463000
07/06/2013,306.65,311.75,299.55,303.2,6896000,21162000
10/06/2013,303.2,305.25,294.1,298.05,6445000,21653000
11/06/2013,297.95,298.75,290.7,294.75,6926000,21965000
12/06/2013,292.8,297.45,290.9,294.2,5192000,21081000
13/06/2013,290.05,290.9,281.25,283.5,6085000,20598000
14/06/2013,288.85,298.6,288.15,296.9,6195000,20841000
17/06/2013,296.9,300.75,289.15,299.75,7290500,21188000
18/06/2013,297.7,299.65,293.3,297.45,6733500,22319000
19/06/2013,295.6,296.25,291.35,292.45,4954500,22027000
20/06/2013,286.95,292,283.75,288.15,7939500,22248000
21/06/2013,283.7,289,282.4,286.7,5563500,21895000
24/06/2013,284.15,287.05,279.6,283.4,7240500,21022000
25/06/2013,282.45,284.15,271.4,280.6,10019000,18694000
26/06/2013,280.6,282,269.45,272.85,8672500,13964000
27/06/2013,275.45,276.95,262.9,268.85,9581500,11713000
28/06/2013,276.95,283.7,276.95,282.7,5036500,21068000
01/07/2013,279.7,291.6,278.55,290.05,5174500,20966000
02/07/2013,287.65,289.4,283,286.85,4371500,20984000
03/07/2013,282.8,289.75,278.5,285.2,7061500,22086000
04/07/2013,287.15,294.15,283.05,292.9,6513000,23157000
05/07/2013,294.85,298.6,293.55,296.2,5773500,24193000
08/07/2013,291.5,291.5,283,288.65,6207500,23067000
09/07/2013,289.4,290.75,284.8,289.2,4747000,24433000
10/07/2013,287.35,288.75,280.9,283.5,6885000,25182000
11/07/2013,288,292,283.9,285.7,4921500,24429000
12/07/2013,286,294.5,285.4,292.85,5969000,25200000
15/07/2013,290.5,292.35,286.4,288.85,4398000,24661000
16/07/2013,283.5,292.25,282,291.5,6551500,25307000
17/07/2013,291.85,291.85,282.7,285.8,5075000,23717000
18/07/2013,285.9,288.5,280.8,287.9,5003500,23406000
