Date,Open,High,Low,Close,Volume,Adj Close
1999-02-24,1.125,1.125,1.00,1.0625,900,0.844325
1999-02-23,1.125,1.125,1.0625,1.0625,7200,0.844325
1999-02-22,1.125,1.125,1.125,1.125,000,0.893992
1999-02-19,1.0625,1.125,1.0625,1.125,3900,0.893992
1999-02-18,1.0625,1.0625,1.0625,1.0625,000,0.844325
1999-02-17,1.0625,1.0625,1.0625,1.0625,6000,0.844325
1999-02-16,1.125,1.125,1.0625,1.0625,11000,0.844325
1999-02-12,1.0625,1.0625,1.0625,1.0625,26000,0.844325
1999-02-11,1.125,1.1875,1.125,1.1875,11700,0.943658
1999-02-10,1.0625,1.125,1.0625,1.125,4100,0.893992
1999-02-09,1.0625,1.0625,1.0625,1.0625,2300,0.844325
1999-02-08,1.1875,1.1875,1.0625,1.125,24300,0.893992
1999-02-05,1.125,1.125,1.125,1.125,5600,0.893992
1999-02-04,1.125,1.125,1.0625,1.0625,12700,0.844325
1999-02-03,1.125,1.1875,1.125,1.1875,1900,0.943658
1999-02-02,1.125,1.125,1.125,1.125,48000,0.893992
1999-02-01,1.125,1.125,1.125,1.125,3400,0.893992
1999-01-29,1.125,1.125,1.125,1.125,14300,0.893992
1999-01-28,1.125,1.125,1.125,1.125,4500,0.893992
1999-01-27,1.0625,1.0625,1.0625,1.0625,800,0.844325
1999-01-26,1.0625,1.0625,1.0625,1.0625,800,0.844325
1999-01-25,1.125,1.125,1.0625,1.0625,7700,0.844325
1999-01-22,1.0625,1.0625,1.0625,1.0625,400,0.844325
1999-01-21,1.125,1.125,1.125,1.125,2200,0.893992
1999-01-20,1.0625,1.0625,1.0625,1.0625,10000,0.844325
1999-01-19,1.25,1.25,1.1875,1.1875,20600,0.943658
1999-01-15,1.1875,1.1875,1.125,1.125,1600,0.893992
1999-01-14,1.1875,1.1875,1.125,1.1875,10700,0.943658
1999-01-13,1.125,1.1875,1.125,1.1875,6100,0.943658
1999-01-12,1.1875,1.25,1.1875,1.25,39500,0.993324
1999-01-11,1.0625,1.0625,1.0625,1.0625,6000,0.844325
1999-01-08,1.125,1.1875,1.0625,1.0625,5700,0.844325
1999-01-07,1.1875,1.1875,1.0625,1.0625,6600,0.844325
1999-01-06,1.125,1.1875,1.125,1.1875,3300,0.943658
1999-01-05,1.125,1.125,1.125,1.125,000,0.893992
1999-01-04,1.125,1.125,1.125,1.125,400,0.893992
1998-12-31,1.125,1.1875,1.125,1.1875,14100,0.943658
1998-12-30,1.1875,1.1875,1.125,1.125,28000,0.893992
1998-12-29,1.25,1.25,1.125,1.1875,10600,0.943658
1998-12-28,1.1875,1.25,1.1875,1.25,8400,0.993324
1998-12-24,1.1875,1.25,1.1875,1.25,8700,0.993324
1998-12-23,1.1875,1.25,1.1875,1.25,17400,0.993324
1998-12-22,1.25,1.25,1.1875,1.1875,9700,0.943658
1998-12-21,1.25,1.25,1.25,1.25,46800,0.993324
1998-12-18,1.25,1.25,1.1875,1.1875,33500,0.943658
1998-12-17,1.1875,1.25,1.1875,1.25,6500,0.993324
1998-12-16,1.1875,1.1875,1.125,1.1875,17000,0.943658
1998-12-15,1.125,1.1875,1.0625,1.125,34700,0.893992
1998-12-14,1.125,1.125,1.00,1.00,6700,0.794659
1998-12-11,1.0625,1.125,1.0625,1.125,14700,0.893992
1998-12-10,1.125,1.1875,1.125,1.1875,13500,0.943658
1998-12-09,1.00,1.125,1.00,1.125,21500,0.893992
1998-12-08,1.00,1.00,1.00,1.00,12000,0.794659
1998-12-07,1.00,1.00,1.00,1.00,11200,0.794659
1998-12-04,1.00,1.00,1.00,1.00,2500,0.794659
1998-12-03,1.00,1.00,1.00,1.00,2500,0.794659
1998-12-02,1.00,1.00,1.00,1.00,3500,0.794659
1998-12-01,1.00,1.00,1.00,1.00,6000,0.794659
1998-11-30,1.00,1.00,1.00,1.00,000,0.794659
1998-11-27,1.00,1.00,1.00,1.00,000,0.794659
1998-11-25,1.00,1.00,1.00,1.00,000,0.794659
1998-11-24,1.0625,1.0625,1.00,1.00,6400,0.794659
1998-11-23,1.0625,1.0625,1.0625,1.0625,000,0.844325
1998-11-20,1.1875,1.1875,1.0625,1.0625,10200,0.844325
1998-11-19,1.1875,1.1875,1.125,1.125,1900,0.893992
1998-11-18,1.1875,1.1875,1.1875,1.1875,3500,0.943658
1998-11-17,1.125,1.125,1.125,1.125,6400,0.893992
1998-11-16,1.1875,1.1875,1.1875,1.1875,000,0.943658
1998-11-13,1.1875,1.1875,1.1875,1.1875,300,0.943658
1998-11-12,1.125,1.125,1.125,1.125,900,0.893992
1998-11-11,1.25,1.25,1.1875,1.1875,6800,0.943658
1998-11-10,1.25,1.25,1.25,1.25,000,0.993324
1998-11-09,1.1875,1.25,1.1875,1.25,8600,0.993324
1998-11-06,1.25,1.25,1.25,1.25,31000,0.993324
1998-11-05,1.1875,1.25,1.125,1.125,7400,0.893992
1998-11-04,1.125,1.25,1.125,1.25,16000,0.993324
1998-11-03,1.25,1.25,1.125,1.125,9700,0.893992
1998-11-02,1.1875,1.1875,1.1875,1.1875,200,0.943658
1998-10-30,1.1875,1.1875,1.1875,1.1875,000,0.943658
1998-10-29,1.375,1.375,1.125,1.1875,4900,0.943658
1998-10-28,1.0625,1.25,1.0625,1.1875,13900,0.943658
1998-10-27,1.0625,1.0625,1.0625,1.0625,800,0.844325
1998-10-26,1.0625,1.0625,1.0625,1.0625,000,0.844325
1998-10-23,1.00,1.0625,1.00,1.0625,2500,0.844325
1998-10-22,0.875,0.9375,0.875,0.9375,20000,0.744993
1998-10-21,0.9375,0.9375,0.9375,0.9375,800,0.744993
1998-10-20,1.0625,1.0625,0.9375,0.9375,6000,0.744993
1998-10-19,0.875,1.00,0.875,1.00,31600,0.794659
1998-10-16,0.875,0.9375,0.8125,0.9375,15400,0.744993
1998-10-15,0.8125,0.875,0.8125,0.875,3300,0.695327
1998-10-14,0.75,0.8125,0.75,0.8125,12900,0.645661
1998-10-13,0.75,0.75,0.75,0.75,10000,0.595994
1998-10-12,0.75,0.75,0.75,0.75,10000,0.595994
1998-10-09,0.75,0.75,0.625,0.625,9500,0.496662
1998-10-08,0.875,0.875,0.8125,0.8125,5400,0.645661
1998-10-07,0.875,0.875,0.875,0.875,100,0.695327
1998-10-06,0.9375,0.9375,0.9375,0.9375,000,0.744993
1998-10-05,0.875,0.9375,0.875,0.9375,4900,0.744993
1998-10-02,1.00,1.00,1.00,1.00,2300,0.794659
1998-10-01,0.9375,0.9375,0.9375,0.9375,000,0.744993
1998-09-30,1.00,1.00,0.9375,0.9375,2500,0.744993
1998-09-29,1.00,1.00,1.00,1.00,000,0.794659
1998-09-28,1.00,1.00,1.00,1.00,500,0.794659
1998-09-25,1.00,1.00,1.00,1.00,4300,0.794659
1998-09-24,0.9375,0.9375,0.9375,0.9375,000,0.744993
1998-09-23,0.9375,0.9375,0.9375,0.9375,900,0.744993
1998-09-22,0.875,0.875,0.875,0.875,800,0.695327
1998-09-21,0.875,0.875,0.875,0.875,200,0.695327
1998-09-18,0.9375,0.9375,0.9375,0.9375,000,0.744993
1998-09-17,0.9375,0.9375,0.9375,0.9375,600,0.744993
1998-09-16,0.9375,0.9375,0.9375,0.9375,000,0.744993
